200	38.95	57
137	155	180	-47    4	3
52	167	187	-18    2	2
134	163	188	-17    4	3
42	166	191	-9    2	1
16	168	193	-154    1	1
17	170	193	-16    1	0
70	169	194	-21    2	0
19	174	194	-42    1	0
39	175	195	-38    1	1
78	172	197	-27    2	2
24	172	198	-79    1	1
85	174	199	-22    2	0
28	177	202	-34    1	1
23	178	203	-19    1	0
59	179	203	-13    2	1
12	182	204	-18    1	1
31	178	205	-19    1	1
32	187	207	-17    1	1
9	186	211	-22    1	1
29	186	211	-23    1	1
25	182	212	-16    1	1
11	193	213	-15    1	1
69	180	214	0    2	2
15	184	215	-28    1	1
10	192	217	-6    1	0
20	186	219	-64    1	0
34	192	221	-73    1	0
58	195	222	-20    2	1
30	187	223	-74    1	0
77	176	224	-1    2	2
104	182	224	8    2	1
1	185	226	-79    1	0
60	170	228	0    2	2
81	181	228	-20    2	1
36	184	229	-72    1	0
79	194	231	-39    2	1
6	186	232	-71    1	1
44	175	234	-21    2	1
92	173	238	-8    2	0
7	191	240	-96    1	1
66	180	241	-12    2	2
13	193	241	-109    1	1
26	182	242	-96    1	1
21	190	243	-109    1	0
33	181	243	-100    1	1
80	179	244	11    2	2
102	172	247	26    2	2
35	173	249	-97    1	1
107	178	250	10    2	1
82	179	253	30    2	2
112	176	254	27    3	2
123	193	256	30    3	3
43	172	260	-24    2	2
110	179	262	25    2	1
96	181	265	26    2	2
111	176	268	44    3	2
54	180	269	-39    2	1
99	194	271	25    2	2
53	187	276	-23    2	2
62	173	276	-41    2	3
100	174	278	25    2	1
64	171	282	-7    2	2
101	175	285	31    2	0
68	190	288	-5    2	2
94	178	291	27    2	2
127	185	292	54    3	3
113	182	297	29    3	3
63	189	298	-10    2	2
65	195	300	-17    2	1
117	196	303	32    3	3
41	181	304	-22    2	1
115	187	308	27    3	3
67	197	313	-17    2	2
75	181	317	26    2	2
47	182	321	-22    2	2
74	188	323	25    2	2
55	174	327	-22    2	2
91	178	329	26    2	1
122	181	331	58    3	0
138	175	336	115    4	2
131	179	343	134    4	3
88	168	346	25    2	2
145	176	349	140    4	3
114	175	350	49    3	2
124	178	358	96    3	1
